Precio,Titulo,Ubicacion,Enlace,Titulo_Limpio,Precio_Num,Categoria,Marca,Producto,Modelo,Estado,Segmento,Distrito_Limpio
S/140,drone profesional,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1635159054138315/,drone profesional,140,Drones,Otro/Genérico,Drone,Otro,Usado (No especificado),Económico,San Martín De Porres
S/550,computadora gamer intel core i7,"lima, lm",https://www.facebook.com/marketplace/item/2016488528916363/,computadora gamer intel core i7,550,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Económico,Lima Centro
S/900,tv 70pulgadas,"la victoria, lm",https://www.facebook.com/marketplace/item/1871041060181762/,tv 70pulgadas,900,Televisores,Otro/Genérico,Televisor,Otro,Usado (No especificado),Estándar,La Victoria
S/80,se vende ps2 slim,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/706994902377861/,se vende ps2 slim,80,Consolas/Realidad Virtual,Sony,Consola,PS2,Usado (No especificado),Económico,Ventanilla
S/480,en venta celular honor x9c smart,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1197982215737183/,en venta celular honor x9c smart,480,Dispositivos móviles,Honor,Smartphone,Honor X9c,Usado (No especificado),Económico,San Martín De Porres
S/69,patch cord de de fibra óptica lc_lc os2,"san juan de miraflores, lm",https://www.facebook.com/marketplace/item/2099109364220139/,patch cord de de fibra óptica lc_lc os2,69,Conectividad/Redes,Otro/Genérico,Cable,Patch cord,Usado (No especificado),Económico,San Juan De Miraflores
S/300,oferta laptop asus,"lima, lm",https://www.facebook.com/marketplace/item/2093235338097174/,oferta laptop asus,300,Laptops/PC,Asus,Laptop,Asus,Usado (No especificado),Económico,Lima Centro
S/820,iphone 11 pro 256 gb,"ate, lm",https://www.facebook.com/marketplace/item/717710287870076/,iphone 11 pro 256 gb,820,Dispositivos móviles,Apple,Smartphone,iPhone 11,Usado (No especificado),Estándar,Ate
S/150,discman con altavoz sony,"los olivos, lm",https://www.facebook.com/marketplace/item/897698315978694/,discman con altavoz sony,150,Equipos de sonido,Otro/Genérico,Altavoz,Otro,Usado (No especificado),Económico,Los Olivos
S/1.400,ps5 fat cambio por iphone,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/902984298784248/,ps5 fat cambio por iphone,1400,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,San Juan De Lurigancho
S/3.500,samsung s25 ultra - 512 gb internas - 12 gb memoria rom,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/1749219972417638/,samsung s25 ultra - 512 gb internas - 12 gb memoria rom,3500,Dispositivos móviles,Samsung,Smartphone,Galaxy S25 Ultra,Usado (No especificado),Estándar,Ventanilla
S/280,sony genezi,"comas, lm",https://www.facebook.com/marketplace/item/24164404616591075/,sony genezi,280,Equipos de sonido,Sony,Sistema de sonido,Genezi,Usado (No especificado),Económico,Comas
S/160,vendo mi samsung a16. 5g,"carabayllo, lm",https://www.facebook.com/marketplace/item/1430749261772909/,vendo mi samsung a16. 5g,160,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,Carabayllo
S/400,dell vostro 3400 por partes..,callao,https://www.facebook.com/marketplace/item/1399773451638892/,dell vostro 3400 por partes..,400,Laptops/PC,Dell,Laptop,Dell Vostro,Usado (No especificado),Económico,Callao
S/900,iphone 12 pro 128gb,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/2255714612021832/,iphone 12 pro 128gb,900,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,Ventanilla
S/1.100,vendo mi iphone,callao,https://www.facebook.com/marketplace/item/926175570095536/,vendo mi iphone,1100,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,Callao
S/700,laptop hp elitebook 840 g4 | intel core i7 | 8gb ram | 1tb hdd,"rimac, lm",https://www.facebook.com/marketplace/item/781670040882683/,laptop hp elitebook 840 g4 | intel core i7 | 8gb ram | 1tb hdd,700,Laptops/PC,HP,Laptop,Elitebook,Usado (No especificado),Económico,Rimac
S/1.200,switch oled 10/10,callao,https://www.facebook.com/marketplace/item/1938582407050986/,switch oled 10/10,1200,Consolas/Realidad Virtual,Nintendo,Consola,Nintendo Switch,Usado/Como Nuevo,Estándar,Callao
S/280,samsung galaxy a23-128gb dual sim,"los olivos, lm",https://www.facebook.com/marketplace/item/788512790943035/,samsung galaxy a23-128gb dual sim,280,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,Los Olivos
S/750,🍏oferta macbook air 2017 🇺🇸,"lince, lm",https://www.facebook.com/marketplace/item/1445331140644068/,🍏oferta macbook air 2017 🇺🇸,750,Laptops/PC,Apple,Laptop,MacBook Air,Usado (No especificado),Económico,Lince
S/150,sí vende transformador 150 soles,"ate, lm",https://www.facebook.com/marketplace/item/847842141572369/,sí vende transformador 150 soles,150,Energía y Adaptadores,Otro/Genérico,Transformador,Otro,Usado (No especificado),Económico,Ate
